Implementation,Complie,Error
human_eval_097_6.mlw,"[""unbound function or predicate symbol '(<)'""]","unbound function or predicate symbol '(<)'
"
human_eval_053_2.mlw,"[""unbound function or predicate symbol '(-)'""]","unbound function or predicate symbol '(-)'
"
human_eval_151_5.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_030_1.mlw,"[""unbound function or predicate symbol '(>)'""]","unbound function or predicate symbol '(>)'
"
human_eval_005_8.mlw,[],
human_eval_151_4.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_005_9.mlw,[],
human_eval_008_10.mlw,"[""unbound function or predicate symbol 'fold_left'""]","unbound function or predicate symbol 'fold_left'
"
human_eval_053_3.mlw,"[""unbound function or predicate symbol '(+)'""]","unbound function or predicate symbol '(+)'
"
human_eval_097_7.mlw,"[""unbound function or predicate symbol '(<)'""]","unbound function or predicate symbol '(<)'
"
human_eval_009_4.mlw,"[""unbound function or predicate symbol 'rev'""]","unbound function or predicate symbol 'rev'
"
human_eval_057_7.mlw,"[""unbound function or predicate symbol '(>=)'""]","unbound function or predicate symbol '(>=)'
"
human_eval_057_5.mlw,"[""unbound function or predicate symbol 'ref'""]","unbound function or predicate symbol 'ref'
"
human_eval_009_6.mlw,"[""unbound function or predicate symbol 'max'""]","unbound function or predicate symbol 'max'
"
human_eval_042_9.mlw,"[""unbound function or predicate symbol '(+)'""]","unbound function or predicate symbol '(+)'
"
human_eval_097_5.mlw,"[""unbound function or predicate symbol 'string_of_int'""]","unbound function or predicate symbol 'string_of_int'
"
human_eval_030_2.mlw,"[""unbound function or predicate symbol '(>)'""]","unbound function or predicate symbol '(>)'
"
human_eval_151_6.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_053_1.mlw,"[""unbound function or predicate symbol '(+)'""]","unbound function or predicate symbol '(+)'
"
human_eval_030_3.mlw,"[""unbound function or predicate symbol '(>)'""]","unbound function or predicate symbol '(>)'
"
human_eval_151_7.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_097_4.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_042_8.mlw,"[""unbound function or predicate symbol '(+)'""]","unbound function or predicate symbol '(+)'
"
human_eval_009_7.mlw,"[""unbound function or predicate symbol 'rev'""]","unbound function or predicate symbol 'rev'
"
human_eval_057_4.mlw,"[""unbound function or predicate symbol '(<=)'""]","unbound function or predicate symbol '(<=)'
"
human_eval_159_3.mlw,['syntax error'],"syntax error
"
human_eval_060_2.mlw,"[""unbound function or predicate symbol '(<=)'""]","unbound function or predicate symbol '(<=)'
"
human_eval_138_2.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_057_9.mlw,"[""unbound function or predicate symbol '(<=)'""]","unbound function or predicate symbol '(<=)'
"
human_eval_042_5.mlw,"[""unbound function or predicate symbol '(+)'""]","unbound function or predicate symbol '(+)'
"
human_eval_097_9.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_005_7.mlw,"[""unbound function or predicate symbol 'List.fold_right'""]","unbound function or predicate symbol 'List.fold_right'
"
human_eval_005_6.mlw,[],
human_eval_097_8.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_042_4.mlw,"[""unbound function or predicate symbol '(+)'""]","unbound function or predicate symbol '(+)'
"
human_eval_057_8.mlw,"[""unbound function or predicate symbol 'ref'""]","unbound function or predicate symbol 'ref'
"
human_eval_138_3.mlw,"[""unbound function or predicate symbol '(<)'""]","unbound function or predicate symbol '(<)'
"
human_eval_060_3.mlw,"[""unbound function or predicate symbol '(+)'""]","unbound function or predicate symbol '(+)'
"
human_eval_159_2.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_060_1.mlw,['syntax error'],"syntax error
"
human_eval_138_1.mlw,"[""unbound function or predicate symbol '(<)'""]","unbound function or predicate symbol '(<)'
"
human_eval_009_9.mlw,"[""unbound function or predicate symbol 'rev'""]","unbound function or predicate symbol 'rev'
"
human_eval_042_6.mlw,"[""unbound function or predicate symbol '(-)'""]","unbound function or predicate symbol '(-)'
"
human_eval_151_9.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_005_4.mlw,"[""unbound function or predicate symbol 'List.rev'""]","unbound function or predicate symbol 'List.rev'
"
human_eval_151_8.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_005_5.mlw,['Module Seq not found in library list'],"Module Seq not found in library list
"
human_eval_042_7.mlw,"[""unbound function or predicate symbol '(+)'""]","unbound function or predicate symbol '(+)'
"
human_eval_009_8.mlw,"[""unbound function or predicate symbol 'max'""]","unbound function or predicate symbol 'max'
"
human_eval_159_1.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_159_5.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_060_4.mlw,['syntax error'],"syntax error
"
human_eval_035_10.mlw,"[""unbound function or predicate symbol 'max'""]","unbound function or predicate symbol 'max'
"
human_eval_138_4.mlw,['syntax error'],"syntax error
"
human_eval_139_10.mlw,"[""unbound function or predicate symbol 'special_factorial'""]","unbound function or predicate symbol 'special_factorial'
"
human_eval_042_3.mlw,"[""unbound function or predicate symbol '(+)'""]","unbound function or predicate symbol '(+)'
"
human_eval_005_1.mlw,[],
human_eval_030_8.mlw,"[""unbound function or predicate symbol '(>)'""]","unbound function or predicate symbol '(>)'
"
human_eval_030_9.mlw,"[""unbound function or predicate symbol '(>)'""]","unbound function or predicate symbol '(>)'
"
human_eval_042_2.mlw,"[""unbound function or predicate symbol '(+)'""]","unbound function or predicate symbol '(+)'
"
human_eval_138_5.mlw,"[""unbound function or predicate symbol '(>)'""]","unbound function or predicate symbol '(>)'
"
human_eval_060_10.mlw,"[""unbound function or predicate symbol '(+)'""]","unbound function or predicate symbol '(+)'
"
human_eval_060_5.mlw,"[""unbound function or predicate symbol 'ref'""]","unbound function or predicate symbol 'ref'
"
human_eval_159_4.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_159_6.mlw,"[""unbound function or predicate symbol '(>=)'""]","unbound function or predicate symbol '(>=)'
"
human_eval_060_7.mlw,"[""unbound function or predicate symbol '(>)'""]","unbound function or predicate symbol '(>)'
"
human_eval_138_7.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_053_8.mlw,"[""unbound function or predicate symbol '(-)'""]","unbound function or predicate symbol '(-)'
"
human_eval_005_2.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input Cons ((Cons 1 (Cons 2 (Cons 3 (Nil)))) and 5; the output we obtained with current implementation is (Cons 3 (Cons 5 (Cons 2 (Cons 5 (Cons 1 (Nil)))))); but the expected output is (Cons 1 (Cons 5 (Cons 2 (Cons 5 (Cons 3 (Nil)))))))', 'for input Cons ((Cons 1 (Cons 2 (Nil))) and 5; the output we obtained with current implementation is (Cons 2 (Cons 5 (Cons 1 (Nil)))); but the expected output is (Cons 1 (Cons 5 (Cons 2 (Nil)))))', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input Cons ((Cons 1 (Cons 2 (Cons 3 (Nil)))) and 5; the output we obtained with current implementation is (Cons 3 (Cons 5 (Cons 2 (Cons 5 (Cons 1 (Nil)))))); but the expected output is (Cons 1 (Cons 5 (Cons 2 (Cons 5 (Cons 3 (Nil)))))))
for input Cons ((Cons 1 (Cons 2 (Nil))) and 5; the output we obtained with current implementation is (Cons 2 (Cons 5 (Cons 1 (Nil)))); but the expected output is (Cons 1 (Cons 5 (Cons 2 (Nil)))))
 
    Please revise the current implementation to fix the problem.
"
human_eval_005_3.mlw,"[""unbound function or predicate symbol 'List.rev'""]","unbound function or predicate symbol 'List.rev'
"
human_eval_053_9.mlw,"[""unbound function or predicate symbol '(-)'""]","unbound function or predicate symbol '(-)'
"
human_eval_042_1.mlw,"[""unbound function or predicate symbol '(+)'""]","unbound function or predicate symbol '(+)'
"
human_eval_138_6.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_060_6.mlw,"[""unbound function or predicate symbol '(<=)'""]","unbound function or predicate symbol '(<=)'
"
human_eval_159_7.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_008_9.mlw,['failure: many args for exec fun'],"failure: many args for exec fun
"
human_eval_139_1.mlw,[],
human_eval_035_9.mlw,"[""unbound function or predicate symbol 'max'""]","unbound function or predicate symbol 'max'
"
human_eval_035_8.mlw,"[""unbound function or predicate symbol 'max'""]","unbound function or predicate symbol 'max'
"
human_eval_085_1.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_152_10.mlw,"[""unbound function or predicate symbol '(-)'""]","unbound function or predicate symbol '(-)'
"
human_eval_052_10.mlw,"[""unbound function or predicate symbol '(<)'""]","unbound function or predicate symbol '(<)'
"
human_eval_008_8.mlw,[],
human_eval_031_10.mlw,"[""unbound function or predicate symbol 'Nil'""]","unbound function or predicate symbol 'Nil'
"
human_eval_152_8.mlw,"[""unbound function or predicate symbol 'zip'""]","unbound function or predicate symbol 'zip'
"
human_eval_085_10.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_085_3.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_139_2.mlw,"[""unbound function or predicate symbol 'factorial'""]","unbound function or predicate symbol 'factorial'
"
human_eval_097_10.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_139_3.mlw,[],
human_eval_085_2.mlw,"['This expression has type list.List.list int, but is expected to have type int']","This expression has type list.List.list int, but is expected to have type int
"
human_eval_152_9.mlw,"[""unbound function or predicate symbol 'rev'""]","unbound function or predicate symbol 'rev'
"
human_eval_052_8.mlw,"[""unbound function or predicate symbol 'min_int'""]","unbound function or predicate symbol 'min_int'
"
human_eval_085_6.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_139_7.mlw,"[""unbound function or predicate symbol '(/)'""]","unbound function or predicate symbol '(/)'
"
human_eval_139_6.mlw,"['This function may not terminate, it cannot be used as pure']","This function may not terminate, it cannot be used as pure
"
human_eval_085_7.mlw,"[""unbound function or predicate symbol 'nth'""]","unbound function or predicate symbol 'nth'
"
human_eval_052_9.mlw,['syntax error'],"syntax error
"
human_eval_031_8.mlw,"[""unbound function or predicate symbol '(<=)'""]","unbound function or predicate symbol '(<=)'
"
human_eval_085_5.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_009_10.mlw,"[""unbound function or predicate symbol 'max'""]","unbound function or predicate symbol 'max'
"
human_eval_139_4.mlw,[],
human_eval_005_10.mlw,[],
human_eval_139_5.mlw,"[""unbound function or predicate symbol 'get'""]","unbound function or predicate symbol 'get'
"
human_eval_085_4.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_042_10.mlw,"[""unbound function or predicate symbol '(+)'""]","unbound function or predicate symbol '(+)'
"
human_eval_031_9.mlw,"[""unbound function or predicate symbol '( * )'""]","unbound function or predicate symbol '( * )'
"
