Implementation,Compile,Error
human_eval_035_4.mlw,['syntax error'],"syntax error
"
human_eval_152_6.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_020_8.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_008_4.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_052_3.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_138_10.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed.']","=======================TestCases=====================

    For the given implementation, some of testcases failed.
"
human_eval_003_8.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_009_3.mlw,['trying to open a module inside another module'],"trying to open a module inside another module
"
human_eval_151_3.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_030_7.mlw,[],
human_eval_053_4.mlw,[],
human_eval_053_5.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed.']","=======================TestCases=====================

    For the given implementation, some of testcases failed.
"
human_eval_151_2.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_030_6.mlw,"[""unbound function or predicate symbol 'append'""]","unbound function or predicate symbol 'append'
"
human_eval_097_1.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_009_2.mlw,"[""unbound function or predicate symbol 'reverse'""]","unbound function or predicate symbol 'reverse'
"
human_eval_057_1.mlw,[],
human_eval_003_9.mlw,[],
human_eval_159_9.mlw,"[""unbound function or predicate symbol 'snd'""]","unbound function or predicate symbol 'snd'
"
human_eval_060_8.mlw,[],
human_eval_138_8.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_057_3.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_030_10.mlw,[],
human_eval_097_3.mlw,['syntax error'],"syntax error
"
human_eval_053_7.mlw,[],
human_eval_053_10.mlw,['syntax error'],"syntax error
"
human_eval_030_4.mlw,"[""unbound function or predicate symbol 'append'""]","unbound function or predicate symbol 'append'
"
human_eval_030_5.mlw,['Logical symbol is_pos is used in a non-ghost context'],"Logical symbol is_pos is used in a non-ghost context
"
human_eval_151_1.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_053_6.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed.']","=======================TestCases=====================

    For the given implementation, some of testcases failed.
"
human_eval_097_2.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_009_1.mlw,"[""unbound function or predicate symbol 'reverse'""]","unbound function or predicate symbol 'reverse'
"
human_eval_057_2.mlw,['syntax error'],"syntax error
"
human_eval_138_9.mlw,['syntax error'],"syntax error
"
human_eval_060_9.mlw,[],
human_eval_159_8.mlw,[],
human_eval_151_10.mlw,"['This expression has type list.List.list int, but is expected to have type int']","This expression has type list.List.list int, but is expected to have type int
"
human_eval_057_6.mlw,[],
human_eval_009_5.mlw,"[""unbound function or predicate symbol 'reverse'""]","unbound function or predicate symbol 'reverse'
"
human_eval_097_6.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_020_10.mlw,"[""unbound function or predicate symbol 'append'""]","unbound function or predicate symbol 'append'
"
human_eval_053_2.mlw,[],
human_eval_151_5.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_030_1.mlw,[],
human_eval_005_8.mlw,[],
human_eval_151_4.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_005_9.mlw,"[""unbound function or predicate symbol 'append'""]","unbound function or predicate symbol 'append'
"
human_eval_008_10.mlw,[],
human_eval_053_3.mlw,['syntax error'],"syntax error
"
human_eval_097_7.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_009_4.mlw,"[""unbound function or predicate symbol 'reverse'""]","unbound function or predicate symbol 'reverse'
"
human_eval_057_7.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_057_5.mlw,['anomaly: Why3.Parser.MenhirBasics.Error'],"anomaly: Why3.Parser.MenhirBasics.Error
"
human_eval_009_6.mlw,['trying to open a module inside another module'],"trying to open a module inside another module
"
human_eval_042_9.mlw,[],
human_eval_097_5.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_030_2.mlw,"[""Type mismatch between list.List.list 'a and list.List.list int""]","Type mismatch between list.List.list 'a and list.List.list int
"
human_eval_151_6.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_053_1.mlw,[],
human_eval_030_3.mlw,"[""unbound function or predicate symbol 'append'""]","unbound function or predicate symbol 'append'
"
human_eval_151_7.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_097_4.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_042_8.mlw,['Module ToArray not found in library list'],"Module ToArray not found in library list
"
human_eval_009_7.mlw,['trying to open a module inside another module'],"trying to open a module inside another module
"
human_eval_057_4.mlw,['syntax error'],"syntax error
"
human_eval_159_3.mlw,[],
human_eval_003_1.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_060_2.mlw,['anomaly: Stack overflow'],"anomaly: Stack overflow
"
human_eval_138_2.mlw,['syntax error'],"syntax error
"
human_eval_057_9.mlw,[],
human_eval_042_5.mlw,[],
human_eval_097_9.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_005_7.mlw,[],
human_eval_005_6.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_097_8.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_042_4.mlw,[],
human_eval_057_8.mlw,['syntax error'],"syntax error
"
human_eval_138_3.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed.']","=======================TestCases=====================

    For the given implementation, some of testcases failed.
"
human_eval_060_3.mlw,"[""unbound function or predicate symbol '(/)'""]","unbound function or predicate symbol '(/)'
"
human_eval_159_2.mlw,[],
human_eval_060_1.mlw,[],
human_eval_003_2.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_138_1.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_009_9.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_042_6.mlw,[],
human_eval_151_9.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_005_4.mlw,"[""unbound function or predicate symbol 'append'""]","unbound function or predicate symbol 'append'
"
human_eval_151_8.mlw,['syntax error'],"syntax error
"
human_eval_005_5.mlw,"[""Type mismatch between list.List.list 'a and list.List.list int""]","Type mismatch between list.List.list 'a and list.List.list int
"
human_eval_042_7.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_009_8.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_013_10.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_003_3.mlw,[],
human_eval_159_1.mlw,[],
human_eval_159_5.mlw,[],
human_eval_060_4.mlw,[],
human_eval_003_7.mlw,[],
human_eval_035_10.mlw,['syntax error'],"syntax error
"
human_eval_138_4.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_139_10.mlw,[],
human_eval_042_3.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_005_1.mlw,[],
human_eval_030_8.mlw,"[""Type mismatch between list.List.list 'a and list.List.list int""]","Type mismatch between list.List.list 'a and list.List.list int
"
human_eval_030_9.mlw,['syntax error'],"syntax error
"
human_eval_042_2.mlw,"['This expression has type list.List.list int, but is expected to have type int']","This expression has type list.List.list int, but is expected to have type int
"
human_eval_138_5.mlw,"[""unbound function or predicate symbol '(/)'""]","unbound function or predicate symbol '(/)'
"
human_eval_060_10.mlw,[],
human_eval_003_6.mlw,"['Execution terminated because no support for partial function applications (""llms/implementation/final-gpt41-diversity/human_eval_003_6.mlw"", line 59, characters 25-28)']","Execution terminated because no support for partial function applications (""llms/implementation/final-gpt41-diversity/human_eval_003_6.mlw"", line 59, characters 25-28)
"
human_eval_060_5.mlw,[],
human_eval_003_10.mlw,[],
human_eval_159_4.mlw,[],
human_eval_159_6.mlw,['syntax error'],"syntax error
"
human_eval_003_4.mlw,[],
human_eval_060_7.mlw,[],
human_eval_138_7.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_053_8.mlw,[],
human_eval_005_2.mlw,"[""Type mismatch between list.List.list 'a and list.List.list int""]","Type mismatch between list.List.list 'a and list.List.list int
"
human_eval_005_3.mlw,"[""unbound function or predicate symbol 'append'""]","unbound function or predicate symbol 'append'
"
human_eval_053_9.mlw,[],
human_eval_042_1.mlw,[],
human_eval_138_6.mlw,['syntax error'],"syntax error
"
human_eval_060_6.mlw,['syntax error'],"syntax error
"
human_eval_003_5.mlw,"['Execution terminated because no support for partial function applications (""llms/implementation/final-gpt41-diversity/human_eval_003_5.mlw"", line 58, characters 31-35)']","Execution terminated because no support for partial function applications (""llms/implementation/final-gpt41-diversity/human_eval_003_5.mlw"", line 58, characters 31-35)
"
human_eval_159_7.mlw,[],
human_eval_008_9.mlw,[],
human_eval_020_5.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_139_1.mlw,"[""unbound function or predicate symbol 'fact'""]","unbound function or predicate symbol 'fact'
"
human_eval_035_9.mlw,['syntax error'],"syntax error
"
human_eval_163_6.mlw,[],
human_eval_163_7.mlw,[],
human_eval_035_8.mlw,['syntax error'],"syntax error
"
human_eval_085_1.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_020_4.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_152_10.mlw,"['This expression has type list.List.list int, but is expected to have type int']","This expression has type list.List.list int, but is expected to have type int
"
human_eval_052_10.mlw,[],
human_eval_008_8.mlw,[],
human_eval_031_10.mlw,"[""unbound function or predicate symbol '(%)'""]","unbound function or predicate symbol '(%)'
"
human_eval_020_6.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_152_8.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_085_10.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_085_3.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_139_2.mlw,['anomaly: Stack overflow'],"anomaly: Stack overflow
"
human_eval_013_9.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_163_5.mlw,[],
human_eval_097_10.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_163_4.mlw,"[""Type mismatch between list.List.list int and list.List.list 'xi""]","Type mismatch between list.List.list int and list.List.list 'xi
"
human_eval_013_8.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_139_3.mlw,[],
human_eval_085_2.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_152_9.mlw,"[""unbound function or predicate symbol 'x'""]","unbound function or predicate symbol 'x'
"
human_eval_020_7.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_052_8.mlw,"[""unbound function or predicate symbol 'x'""]","unbound function or predicate symbol 'x'
"
human_eval_085_6.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_020_3.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_139_7.mlw,[],
human_eval_163_1.mlw,[],
human_eval_139_6.mlw,['Logical symbol map is used in a non-ghost context'],"Logical symbol map is used in a non-ghost context
"
human_eval_020_2.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_085_7.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_052_9.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_031_8.mlw,"[""unbound function or predicate symbol '(%)'""]","unbound function or predicate symbol '(%)'
"
human_eval_085_5.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_009_10.mlw,"[""unbound function or predicate symbol 'reverse'""]","unbound function or predicate symbol 'reverse'
"
human_eval_139_4.mlw,[],
human_eval_005_10.mlw,[],
human_eval_163_3.mlw,[],
human_eval_163_2.mlw,"[""Type mismatch between list.List.list int and list.List.list 'xi""]","Type mismatch between list.List.list int and list.List.list 'xi
"
human_eval_139_5.mlw,['anomaly: Stack overflow'],"anomaly: Stack overflow
"
human_eval_020_1.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_085_4.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_042_10.mlw,['syntax error'],"syntax error
"
human_eval_031_9.mlw,"[""unbound function or predicate symbol '(%)'""]","unbound function or predicate symbol '(%)'
"
