Implementation,Complie,Error
human_eval_057_3.mlw,"[""unbound function or predicate symbol '(<)'""]","unbound function or predicate symbol '(<)'
"
human_eval_097_3.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_030_4.mlw,['syntax error'],"syntax error
"
human_eval_030_5.mlw,['syntax error'],"syntax error
"
human_eval_151_1.mlw,['syntax error'],"syntax error
"
human_eval_097_2.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_009_1.mlw,['syntax error'],"syntax error
"
human_eval_057_2.mlw,['syntax error'],"syntax error
"
human_eval_009_5.mlw,['syntax error'],"syntax error
"
human_eval_053_2.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input the output we obtained with current implementation is Cons ((-10), (-20), (-10), (-30)); but the expected output is Cons ((-10), (-20), (-10), (-30))', 'for input the output we obtained with current implementation is Cons (100, (-50), 100, 50); but the expected output is Cons (100, (-50), 100, 50)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input the output we obtained with current implementation is Cons ((-10), (-20), (-10), (-30)); but the expected output is Cons ((-10), (-20), (-10), (-30))
for input the output we obtained with current implementation is Cons (100, (-50), 100, 50); but the expected output is Cons (100, (-50), 100, 50)
 
    Please revise the current implementation to fix the problem.
"
human_eval_151_5.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_030_1.mlw,['syntax error'],"syntax error
"
human_eval_151_4.mlw,['syntax error'],"syntax error
"
human_eval_053_3.mlw,"['Fatal error: out of memory', '/usr/local/bin/why3-wrapper.sh: line 8:    31 Aborted                 why3 ""$@""']","Fatal error: out of memory
/usr/local/bin/why3-wrapper.sh: line 8:    31 Aborted                 why3 ""$@""
"
human_eval_009_4.mlw,['syntax error'],"syntax error
"
human_eval_057_5.mlw,"[""unbound function or predicate symbol '(<)'""]","unbound function or predicate symbol '(<)'
"
human_eval_097_5.mlw,['syntax error'],"syntax error
"
human_eval_030_2.mlw,['syntax error'],"syntax error
"
human_eval_053_1.mlw,[],
human_eval_030_3.mlw,['syntax error'],"syntax error
"
human_eval_097_4.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_057_4.mlw,['syntax error'],"syntax error
"
human_eval_159_3.mlw,['syntax error'],"syntax error
"
human_eval_060_2.mlw,[],
human_eval_138_2.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_042_5.mlw,['trying to open a module inside another module'],"trying to open a module inside another module
"
human_eval_042_4.mlw,['syntax error'],"syntax error
"
human_eval_138_3.mlw,['syntax error'],"syntax error
"
human_eval_060_3.mlw,['syntax error'],"syntax error
"
human_eval_159_2.mlw,['syntax error'],"syntax error
"
human_eval_060_1.mlw,[],
human_eval_138_1.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_005_4.mlw,['syntax error'],"syntax error
"
human_eval_005_5.mlw,"[""unbound function or predicate symbol 'length'""]","unbound function or predicate symbol 'length'
"
human_eval_159_1.mlw,['syntax error'],"syntax error
"
human_eval_159_5.mlw,['syntax error'],"syntax error
"
human_eval_060_4.mlw,['syntax error'],"syntax error
"
human_eval_138_4.mlw,"[""unbound function or predicate symbol '(==)'""]","unbound function or predicate symbol '(==)'
"
human_eval_042_3.mlw,['trying to open a module inside another module'],"trying to open a module inside another module
"
human_eval_005_1.mlw,['syntax error'],"syntax error
"
human_eval_042_2.mlw,['syntax error'],"syntax error
"
human_eval_138_5.mlw,"[""unbound function or predicate symbol '(==)'""]","unbound function or predicate symbol '(==)'
"
human_eval_060_5.mlw,['anomaly: Stack overflow'],"anomaly: Stack overflow
"
human_eval_159_4.mlw,['syntax error'],"syntax error
"
human_eval_005_2.mlw,['syntax error'],"syntax error
"
human_eval_005_3.mlw,['trying to open a module inside another module'],"trying to open a module inside another module
"
human_eval_042_1.mlw,['syntax error'],"syntax error
"
human_eval_139_1.mlw,['syntax error'],"syntax error
"
human_eval_085_1.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_085_3.mlw,['syntax error'],"syntax error
"
human_eval_139_2.mlw,['syntax error'],"syntax error
"
human_eval_139_3.mlw,['syntax error'],"syntax error
"
human_eval_085_2.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_085_5.mlw,['syntax error'],"syntax error
"
human_eval_139_4.mlw,['syntax error'],"syntax error
"
human_eval_139_5.mlw,['syntax error'],"syntax error
"
human_eval_085_4.mlw,['syntax error'],"syntax error
"
